dense1,dense2,loss,acc,prec,recall,f1
448,224,0.5658297538757324,0.8399999737739563,0.8885793685913086,0.7975000143051147,0.8405792117118835
448,160,0.46969103813171387,0.8725000023841858,0.9143646359443665,0.8274999856948853,0.8687658905982971
384,224,0.6312584280967712,0.8349999785423279,0.8805555701255798,0.7925000190734863,0.8342100977897644
256,96,0.6283735036849976,0.8125,0.8931750655174255,0.7524999976158142,0.8168244361877441
320,64,0.532438337802887,0.8450000286102295,0.9275362491607666,0.800000011920929,0.8590599298477173
128,192,0.6095502376556396,0.8125,0.9121212363243103,0.7524999976158142,0.8246569633483887
448,64,0.5794521570205688,0.8399999737739563,0.9101449251174927,0.7850000262260437,0.8429524898529053
192,192,0.5618227124214172,0.8475000262260437,0.9070422649383545,0.8050000071525574,0.8529796600341797
256,160,0.5486074686050415,0.8475000262260437,0.8970189690589905,0.8274999856948853,0.8608577251434326
320,128,0.5275505185127258,0.8450000286102295,0.90625,0.7975000143051147,0.8484037518501282
320,192,0.548245906829834,0.8399999737739563,0.8722826242446899,0.8025000095367432,0.8359370231628418
192,64,0.6407781839370728,0.8525000214576721,0.9115853905677795,0.7475000023841858,0.8214280605316162
320,224,0.525742769241333,0.8650000095367432,0.9058171510696411,0.8174999952316284,0.8593950271606445
256,128,0.5848609805107117,0.8374999761581421,0.8960674405097961,0.7975000143051147,0.8439148664474487
128,32,0.7635053992271423,0.8349999785423279,0.9193548560142517,0.7124999761581421,0.8028163909912109
448,32,0.6652014255523682,0.8525000214576721,0.9242902398109436,0.7325000166893005,0.8172938227653503
128,160,0.6274349689483643,0.8349999785423279,0.8757061958312988,0.7749999761581421,0.8222805857658386
192,32,0.7504026293754578,0.824999988079071,0.9300000071525574,0.6974999904632568,0.7971423864364624
256,224,0.6018852591514587,0.8324999809265137,0.9069767594337463,0.7799999713897705,0.8387091755867004
384,160,0.5305668711662292,0.8500000238418579,0.9050279259681702,0.8100000023841858,0.8548807501792908
192,128,0.5962115526199341,0.8399999737739563,0.9022988677024841,0.7850000262260437,0.8395717144012451
384,64,0.6578993201255798,0.8274999856948853,0.910179615020752,0.7599999904632568,0.8283374309539795
320,160,0.5294790863990784,0.8500000238418579,0.9052924513816833,0.8125,0.8563894629478455
448,96,0.6036787629127502,0.8349999785423279,0.8933717608451843,0.7749999761581421,0.8299860954284668
192,96,0.6113771200180054,0.824999988079071,0.9005681872367859,0.7925000190734863,0.8430845737457275
256,32,0.7717922329902649,0.7724999785423279,0.8814102411270142,0.6875,0.7724713683128357
384,128,0.4612399637699127,0.8675000071525574,0.9203296899795532,0.8374999761581421,0.8769629001617432
256,64,0.698067843914032,0.8125,0.8902077078819275,0.75,0.8141107559204102
448,192,0.48224666714668274,0.862500011920929,0.8944591283798218,0.8475000262260437,0.8703461289405823
128,224,0.6252977848052979,0.8299999833106995,0.8798882961273193,0.7875000238418579,0.831134021282196
192,160,0.5832942724227905,0.8199999928474426,0.8803418874740601,0.7724999785423279,0.822902262210846
320,96,0.5981190204620361,0.8550000190734863,0.9341317415237427,0.7799999713897705,0.8501356840133667
384,32,0.7397276163101196,0.8025000095367432,0.9079365134239197,0.7149999737739563,0.799999475479126
448,128,0.6167458295822144,0.8299999833106995,0.8674033284187317,0.7850000262260437,0.824146568775177
128,64,0.5696364045143127,0.8550000190734863,0.9399399161338806,0.7825000286102295,0.8540240526199341
384,96,0.5599260330200195,0.8324999809265137,0.8991596698760986,0.8025000095367432,0.848084032535553
256,192,0.5371754169464111,0.8424999713897705,0.9016854166984558,0.8025000095367432,0.8492058515548706
192,224,0.502018928527832,0.8475000262260437,0.902506947517395,0.8100000023841858,0.853754460811615
320,32,0.7296306490898132,0.824999988079071,0.9137380123138428,0.7149999737739563,0.8022434711456299
384,192,0.5432411432266235,0.8550000190734863,0.9042253494262695,0.8025000095367432,0.850330650806427
128,96,0.5488826036453247,0.8600000143051147,0.9219653010368347,0.7975000143051147,0.8552273511886597
128,128,0.5405215620994568,0.8374999761581421,0.90625,0.7975000143051147,0.8484037518501282
